CustomerID,Recency,Frequency,Monetary,Segment,Cluster_Name
12346,326,1,77183.6,Cant Lose Them,
12347,2,7,4310.0,Champions,Frequent Buyers
12348,75,4,1797.24,At Risk,
12349,19,1,1757.55,New Customers,Regular
12350,310,1,334.4,Lost,Churned
12352,36,8,2506.04,Loyal Customers,
12353,204,1,89.0,Lost,Churned
12354,232,1,1079.4,Cant Lose Them,Churned
12355,214,1,459.4,Lost,Churned
12356,23,3,2811.43,Loyal Customers,
12357,33,1,6207.67,New Customers,
12358,2,2,1168.06,New Customers,Regular
12359,58,4,6372.58,Loyal Customers,
12360,52,3,2662.06,Loyal Customers,
12361,287,1,189.9,Lost,Churned
12362,3,10,5226.23,Champions,Frequent Buyers
12363,110,2,552.0,Cant Lose Them,Churned
12364,8,4,1313.1,Champions,Regular
12365,291,2,641.38,Cant Lose Them,Churned
12367,4,1,168.9,New Customers,Regular
12370,51,4,3545.69,Loyal Customers,
12371,45,2,1887.96,Others,
12372,72,3,1298.04,Loyal Customers,
12373,311,1,364.6,Lost,Churned
12374,25,1,742.9300000000001,New Customers,Regular
12375,11,2,457.5,New Customers,Regular
12377,315,2,1628.12,Cant Lose Them,
12378,130,1,4008.62,Cant Lose Them,
12379,82,2,852.24,Cant Lose Them,
12380,22,4,2724.81,Champions,
12381,5,5,1845.31,Champions,Frequent Buyers
12383,185,5,1850.56,At Risk,
12384,29,2,585.27,New Customers,Regular
12386,338,2,401.9,Lost,Churned
12388,16,6,2780.66,Champions,Frequent Buyers
12390,80,1,549.84,Cant Lose Them,Churned
12391,22,1,460.89,New Customers,Regular
12393,72,4,1582.6000000000001,Loyal Customers,
12394,64,2,1272.48,Others,
12395,19,12,3018.63,Champions,Frequent Buyers
12397,36,2,2409.9,Others,
12398,46,1,1635.6599999999999,Others,
12399,119,4,1108.65,At Risk,
12401,303,1,84.3,Lost,Churned
12402,323,1,225.6,Lost,Churned
12403,50,1,427.7,Others,Churned
12405,149,1,1710.39,Cant Lose Them,
12406,22,2,3415.3,New Customers,
12407,50,5,1708.1200000000001,Loyal Customers,
12408,33,5,2888.55,Champions,
12409,79,3,11072.67,At Risk,
12410,309,2,693.3299999999999,Cant Lose Them,Churned
12412,75,3,1226.88,At Risk,
12413,67,3,758.1,Loyal Customers,
12414,217,3,562.41,At Risk,Churned
12415,24,21,124914.53,Champions,Frequent Buyers
12417,3,9,3649.1,Champions,Frequent Buyers
12418,113,1,668.58,Cant Lose Them,Churned
12420,64,1,600.39,Others,Churned
12421,16,4,807.04,Loyal Customers,Regular
12422,96,3,803.5600000000001,At Risk,
12423,1,8,1859.31,Champions,Frequent Buyers
12424,163,2,1760.96,Cant Lose Them,
12425,78,1,777.2,Cant Lose Them,Churned
12426,195,1,582.73,Cant Lose Them,Churned
12427,22,3,825.8,Loyal Customers,Regular
12428,26,9,7956.46,Champions,Frequent Buyers
12429,9,4,3750.4,Champions,Frequent Buyers
12430,43,1,256.4,Others,Churned
12431,36,15,6487.45,Loyal Customers,Frequent Buyers
12432,43,5,5059.32,Loyal Customers,
12433,1,7,13375.87,Champions,Frequent Buyers
